,target,text,tweet_clean,bert_prediction,modernbert_prediction,target_mapped
0,0,@byronicman Glad to hear someone isn't bored out of their mind. I'm still waiting for Daddy Peter to hold a skin mag up to camera ,  glad hear someone not bore mind still wait daddy peter hold skin mag camera,0,0,0
1,0,@DasaPles ..together - to je napisao ,  together   je napisao,1,1,0
2,0,"shit, my leighton meester is involved in a sex tape scandal. ",shit leighton meester involve sex tape scandal,1,0,0
3,0,@jruizisenberg but im also still learning C++ for OpenGL not ES ,  also still learn c opengl es,1,0,0
4,0,"Took pictures with Peaches today, but I think I ripped my roll of film  kicking myself..",take picture peach today think rip roll film   kick,1,1,0
5,0,"@oyComics oops, the spaces didn't come out right ",  oop space not come right,0,0,0
6,0,@JonathanRKnight   Delays/cancellations really bite. Have had my fair share and can sympathize. Hang tough!,    delayscancellation really bite fair share sympathize hang tough,0,0,0
7,0,"All of my fav TV shows ended the season!  Time to vent out for new shows &amp; continue w Stairway to Heaven! K.drama, here I come!",fav tv show end season   time vent new show amp continue w stairway heaven kdrama come,1,1,0
8,0,@Soniarocks18 That song is so addicting. Hahaha. That and Dream Police ALWAYS get stuck in my head.  WHAT'S NEW?!,  song addict hahaha dream police always get stuck head   new,1,1,0
9,0,"@jukesie Oh, you need to leave Bristol.  Well done on the job though mate.",  oh need leave bristol   well do job though mate,0,0,0
10,0,@lisarinna I went to my book store to buy your book yesterday and they were sold out now I have to wait for it. I'm not happy ,  go book store buy book yesterday sell wait happy,1,1,0
11,0,@flipsidestore ah that sucks. ,  ah suck,0,0,0
12,0,chest pains stopping me from going to the gym today  ..... tomorrow after 3 @evejuicyj ... we can get back in business,chest pain stop go gym today    tomorrow 3    get back business,1,0,0
13,0,Installing 8 updates on my Mac so I can't use it for like an hour  guess I should revise...,instal 8 update mac can not use like hour   guess revise,0,0,0
14,0,wishes he would love me back!! ,wish would love back,0,0,0
15,0,http://bit.ly/BFhkg  this would be the best present ever. omg i want you ,   would good present ever omg want,0,1,0
16,0,"Well, there goes our investment in GM!!!  ",well go investment gm  ,1,1,0
17,0,@Simmiee   COME TO CANCEL OUT CANCER! :O,    come cancel cancer,0,0,0
18,0,It's raining in Hungary.The weather makes me sad ,raining hungarythe weather make sad,0,0,0
19,0,OMG...im sooo sunburnt. . .just had a shower and it was soo unbelievably sore ,omgim sooo sunburnt   shower soo unbelievably sore,0,0,0
20,0,is home but has to revise ,home revise,0,0,0
21,0,I can't see a bleeping thing today  ,can not see bleep thing today  ,0,0,0
22,0,"crappy day turned awesome at work, only to come home to discover that my chico dog is sick ",crappy day turn awesome work come home discover chico dog sick,1,0,0
23,0,@Spacecable we're all a slave to the wage mate ,  slave wage mate,0,0,0
24,0,@Eepudah Oh no  okay well I don't know what's goin on but u know we gotchu boo ,  oh   okay well not know goin u know gotchu boo,0,0,0
25,0,"@funkifythegroov Awww, a sentiment I've felt MANY a times. Hope it works out. ",  sentiment feel many time hope work,0,1,0
26,0,"Doctor prescribed codine. Feeling kind of loopy, but not loopy enough ",doctor prescribe codine feeling kind loopy loopy enough,0,0,0
27,0,doesnt know what to do to make it right ,not know make right,0,0,0
28,0,Ahhhh I erased everything out of my phoneeeee  please text. Your numbers and names,ahhhh erase everything phoneeeee   please text number name,0,0,0
29,0,@bimbler  well at least its not beautiful sunshine and stuck in traffic,   well least beautiful sunshine stick traffic,0,0,0
30,0,"@Ninjabear22 Don't stop. Really. It's hard to get back into the swing of things. I can't sing anymore, because I stopped for a while. ",  not stop really hard get back swing thing can not sing anymore stop,0,0,0
31,0,Has returned home from the beach  &amp; I have almost come to a decision on the-my first car debate with my bf.,return home beach   amp almost come decision themy first car debate bf,1,1,0
32,0,I'm a sucker for stickers. Got cheated again  lousy stickers!! &gt;:/,sucker sticker get cheat   lousy sticker gt,0,0,0
33,0,landlord got mad about our messy lawn ,landlord get mad messy lawn,0,0,0
34,0,#squarespace 3gs  when is it coming.?,squarespace 3gs   come,0,0,0
35,0,Booo.. Chelsea score... ,booo chelsea score,0,0,0
36,0,"@JJKnight1 Aww, with a name like that I was expecting more ",  aww name like expect,1,1,0
37,0,ran out the door without saying goodbye or my phone. ,run door without say goodbye phone,0,0,0
38,0,"awww poor wee Callum isn't well  gotta feel sorry for my wee baby, he's away back to bed crying that he's not well",awww poor wee callum not well   get to feel sorry wee baby away back bed cry well,0,0,0
39,0,I miss my licorice flavoured cough syrup.  This stuff smells like nailpolish and tastes how I'd imagine nailpolish tastes like...,miss licorice flavour cough syrup   stuff smell like nailpolish taste imagine nailpolish taste like,0,0,0
40,0,Cheap Trick's &quot;Surrender&quot; makes me think of Matt. I miss him right now ,cheap trick quotsurrenderquot make think matt miss right,1,1,0
41,0,"just watched devil wears prada, and i want to live in new york city more than ever. why must i be so poor ",watch devil wear prada want live new york city ever must poor,0,0,0
42,0,@gofortyz did it?! I wish I had HBO!!!!!!  you know if I can watch it online??,  wish hbo   know watch online,0,0,0
43,0,@smuggling why havent you responded to my tweets at you ,  not respond tweet,0,0,0
44,0,I like that my reaction to this whole Chris brown thing was &quot;How is she not going to talk to him for 5 years.? She loves him!&quot; ,like reaction whole chris brown thing quothow go talk 5 year love himquot,1,1,0
45,0,@ComedyQueen @paulpuddifoot what remedies you got? i have work too and i dont wanna miss that ,   remedy get work not wanna miss,0,0,0
